Date,Dividend,Ticker,Ticker_Yahoo
2016-11-01,0.16,ABEV3,ABEV3.SA
2016-12-22,0.22,ABEV3,ABEV3.SA
2017-01-24,0.07,ABEV3,ABEV3.SA
2017-06-26,0.16,ABEV3,ABEV3.SA
2017-12-19,0.31,ABEV3,ABEV3.SA
2018-02-01,0.07,ABEV3,ABEV3.SA
2018-06-18,0.16,ABEV3,ABEV3.SA
2018-12-19,0.32,ABEV3,ABEV3.SA
2019-12-20,0.4906,ABEV3,ABEV3.SA
2020-12-18,0.4137,ABEV3,ABEV3.SA
2021-01-14,0.0767,ABEV3,ABEV3.SA
2021-12-20,0.6036,ABEV3,ABEV3.SA
2022-12-20,0.7623,ABEV3,ABEV3.SA
2023-12-20,0.7302,ABEV3,ABEV3.SA
2024-12-20,0.6676,ABEV3,ABEV3.SA
2025-03-17,0.1276,ABEV3,ABEV3.SA
2025-05-16,0.128,ABEV3,ABEV3.SA
2025-08-08,0.2566,ABEV3,ABEV3.SA
2022-03-28,0.41404,AERI3,AERI3.SA
2008-10-30,0.019349,AGRO3,AGRO3.SA
2013-12-19,0.100704,AGRO3,AGRO3.SA
2015-10-29,1.3977,AGRO3,AGRO3.SA
2016-10-24,0.182998,AGRO3,AGRO3.SA
2016-11-08,0.401082,AGRO3,AGRO3.SA
2017-10-03,0.241108,AGRO3,AGRO3.SA
2018-10-17,0.762051,AGRO3,AGRO3.SA
2019-10-17,0.92933,AGRO3,AGRO3.SA
2020-10-19,0.709664,AGRO3,AGRO3.SA
2021-10-28,2.621181,AGRO3,AGRO3.SA
2022-04-08,2.016293,AGRO3,AGRO3.SA
2022-10-28,3.238673,AGRO3,AGRO3.SA
2023-10-25,3.212353,AGRO3,AGRO3.SA
2024-10-23,1.555983,AGRO3,AGRO3.SA
2021-09-16,0.463642,ALLD3,ALLD3.SA
2021-12-17,0.29731,ALLD3,ALLD3.SA
2022-05-02,0.570983,ALLD3,ALLD3.SA
2022-12-28,0.353999,ALLD3,ALLD3.SA
2023-12-20,0.965452,ALLD3,ALLD3.SA
2024-04-16,1.069763,ALLD3,ALLD3.SA
2024-12-09,1.297059,ALLD3,ALLD3.SA
2025-08-18,0.737651,ALLD3,ALLD3.SA
2021-04-29,0.226403,ALOS3,ALOS3.SA
2022-05-03,0.383932,ALOS3,ALOS3.SA
2023-05-02,0.519014,ALOS3,ALOS3.SA
2024-05-02,1.119397,ALOS3,ALOS3.SA
2024-10-07,0.095312,ALOS3,ALOS3.SA
2024-10-22,0.096151,ALOS3,ALOS3.SA
2024-11-19,0.096451,ALOS3,ALOS3.SA
2024-12-23,0.12011,ALOS3,ALOS3.SA
2025-01-24,0.09091,ALOS3,ALOS3.SA
2025-02-21,0.09135,ALOS3,ALOS3.SA
2025-03-24,0.101603,ALOS3,ALOS3.SA
2025-04-23,0.101521,ALOS3,ALOS3.SA
2025-05-23,0.101521,ALOS3,ALOS3.SA
2025-08-22,0.102164,ALOS3,ALOS3.SA
2025-09-24,0.102165,ALOS3,ALOS3.SA
2007-11-23,0.019414,ALPA3,ALPA3.SA
2008-03-25,0.022539,ALPA3,ALPA3.SA
2008-05-26,0.007156,ALPA3,ALPA3.SA
2008-08-26,0.021698,ALPA3,ALPA3.SA
2008-11-24,0.042855,ALPA3,ALPA3.SA
2009-03-23,0.024042,ALPA3,ALPA3.SA
2009-05-25,0.008024,ALPA3,ALPA3.SA
2009-08-24,0.008114,ALPA3,ALPA3.SA
2009-11-23,0.162284,ALPA3,ALPA3.SA
2010-03-19,0.019775,ALPA3,ALPA3.SA
2010-05-24,0.02799,ALPA3,ALPA3.SA
2010-11-22,0.022952,ALPA3,ALPA3.SA
2011-03-28,0.067054,ALPA3,ALPA3.SA
2011-05-23,0.03293,ALPA3,ALPA3.SA
2011-08-22,0.033918,ALPA3,ALPA3.SA
2011-11-21,0.03046,ALPA3,ALPA3.SA
2012-03-20,0.035565,ALPA3,ALPA3.SA
2012-05-14,0.035894,ALPA3,ALPA3.SA
2012-08-13,0.033918,ALPA3,ALPA3.SA
2012-11-19,0.034577,ALPA3,ALPA3.SA
2013-03-25,0.07755,ALPA3,ALPA3.SA
2013-05-20,0.032766,ALPA3,ALPA3.SA
2013-11-18,0.035894,ALPA3,ALPA3.SA
2014-03-24,0.053841,ALPA3,ALPA3.SA
2014-05-19,0.038693,ALPA3,ALPA3.SA
2014-08-18,0.039648,ALPA3,ALPA3.SA
2014-11-17,0.023038,ALPA3,ALPA3.SA
2015-03-16,0.332985,ALPA3,ALPA3.SA
2015-05-18,0.04558,ALPA3,ALPA3.SA
2015-09-08,0.050542,ALPA3,ALPA3.SA
2015-10-01,0.124283,ALPA3,ALPA3.SA
2015-11-23,0.049714,ALPA3,ALPA3.SA
2015-12-08,0.150797,ALPA3,ALPA3.SA
2016-03-14,0.03512,ALPA3,ALPA3.SA
2016-05-16,0.029019,ALPA3,ALPA3.SA
2016-08-15,0.052597,ALPA3,ALPA3.SA
2016-11-14,0.101897,ALPA3,ALPA3.SA
2017-03-20,0.062985,ALPA3,ALPA3.SA
2017-05-15,0.060017,ALPA3,ALPA3.SA
2017-08-14,0.06183,ALPA3,ALPA3.SA
2017-11-21,0.062985,ALPA3,ALPA3.SA
2018-02-22,0.160658,ALPA3,ALPA3.SA
2018-03-05,0.06216,ALPA3,ALPA3.SA
2018-05-21,0.058202,ALPA3,ALPA3.SA
2018-08-20,0.061995,ALPA3,ALPA3.SA
2020-02-17,0.05019,ALPA3,ALPA3.SA
2021-11-04,0.247202,ALPA3,ALPA3.SA
2022-01-03,0.148322,ALPA3,ALPA3.SA
2025-02-28,0.096733,ALPA3,ALPA3.SA
2017-04-26,0.151865,ALUP3,ALUP3.SA
2018-02-02,0.06223,ALUP3,ALUP3.SA
2018-04-27,0.09779,ALUP3,ALUP3.SA
2018-12-07,0.05334,ALUP3,ALUP3.SA
2019-04-30,0.133349,ALUP3,ALUP3.SA
2020-04-28,0.204469,ALUP3,ALUP3.SA
2021-04-28,0.248919,ALUP3,ALUP3.SA
2022-04-12,0.364489,ALUP3,ALUP3.SA
2023-04-18,0.443787,ALUP3,ALUP3.SA
2023-05-16,0.036982,ALUP3,ALUP3.SA
2023-08-17,0.036982,ALUP3,ALUP3.SA
2023-11-17,0.036982,ALUP3,ALUP3.SA
2024-04-22,0.25,ALUP3,ALUP3.SA
2024-05-17,0.067308,ALUP3,ALUP3.SA
2024-08-19,0.057692,ALUP3,ALUP3.SA
2024-11-18,0.076923,ALUP3,ALUP3.SA
2025-04-17,0.08,ALUP3,ALUP3.SA
2025-05-16,0.07,ALUP3,ALUP3.SA
2025-08-15,0.07,ALUP3,ALUP3.SA
2010-04-19,0.426424,AMAR3,AMAR3.SA
2010-05-11,0.55774,AMAR3,AMAR3.SA
2010-08-04,0.622463,AMAR3,AMAR3.SA
2010-11-29,0.200284,AMAR3,AMAR3.SA
